TimeStamp,Delta_AF8,Theta_AF8,Alpha_AF8,Beta_AF8,Gamma_AF8,stimulus_time,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
2022-07-05 14:03:31.098,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,836.4835,786.9231,808.68134,821.5751
2022-07-05 14:03:31.099,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,835.2747,799.011,796.99634,807.47253
2022-07-05 14:03:31.099,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,841.7216,808.2784,774.43225,787.72894
2022-07-05 14:03:31.099,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,846.9597,797.3993,781.28204,796.1905
2022-07-05 14:03:31.100,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,843.3333,784.10254,801.02563,815.5311
2022-07-05 14:03:31.100,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,843.3333,786.52014,790.54944,806.26373
2022-07-05 14:03:31.100,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,836.8865,790.14655,768.3883,778.46155
2022-07-05 14:03:31.100,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,830.4396,796.5934,767.1795,783.69965
2022-07-05 14:03:31.101,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,834.0659,800.6227,794.17584,815.5311
2022-07-05 14:03:31.101,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,833.663,797.8022,805.4579,817.9487
2022-07-05 14:03:31.103,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,836.08057,800.6227,783.69965,783.69965
2022-07-05 14:03:31.103,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,831.6484,792.96704,777.25275,768.7912
2022-07-05 14:03:31.103,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,827.2161,785.7143,800.2198,797.8022
2022-07-05 14:03:31.104,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,833.2601,797.3993,807.8755,817.9487
2022-07-05 14:03:31.104,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,828.022,809.4872,787.72894,790.54944
2022-07-05 14:03:31.104,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,815.5311,799.011,778.0586,772.4176
2022-07-05 14:03:31.104,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,813.91943,781.685,791.3553,793.36993
2022-07-05 14:03:31.105,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,821.5751,774.0293,803.44324,813.1135
2022-07-05 14:03:31.105,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,825.2015,785.7143,786.9231,796.5934
2022-07-05 14:03:31.105,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,833.663,801.02563,778.0586,778.46155
2022-07-05 14:03:31.130,0.8111405,0.18511117,0.43620417,0.5396081,0.34396076,0,836.8865,798.20514,790.14655,786.52014
