TimeStamp,Delta_AF8,Theta_AF8,Alpha_AF8,Beta_AF8,Gamma_AF8,stimulus_time,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
2022-07-05 13:58:30.000,0.8946189,0.7444531,0.9432277,0.53724015,0.4342861,0,712.7839,770,759.92676,703.91943
2022-07-05 13:58:30.000,0.8946189,0.7444531,0.9432277,0.53724015,0.4342861,0,733.3333,805.05493,825.6044,741.79486
2022-07-05 13:58:30.000,0.8946189,0.7444531,0.9432277,0.53724015,0.4342861,0,743.8095,805.4579,826.4103,752.27106
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,736.9597,776.04395,765.16486,726.08057
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,724.4689,768.3883,754.68866,716.8132
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,742.1978,806.6667,818.7546,764.7619
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,763.1502,832.4542,845.34796,794.9817
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,743.8095,789.7436,784.90845,753.47986
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,725.6777,754.68866,755.4945,733.3333
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,742.6007,767.98535,805.05493,767.1795
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,777.6557,799.41394,850.989,803.44324
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,764.7619,782.49084,801.4286,778.86444
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,740.58606,757.50916,754.68866,741.39197
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,752.674,770.80585,791.75824,769.19415
2022-07-05 13:58:30.000,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,782.8938,811.9048,850.58606,822.381
2022-07-05 13:58:30.251,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,781.28204,805.8608,826.0073,807.8755
2022-07-05 13:58:30.251,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,759.5238,764.7619,764.35895,760.7326
2022-07-05 13:58:30.252,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,763.1502,786.9231,777.25275,760.32965
2022-07-05 13:58:30.252,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,796.1905,848.1685,850.989,809.89014
2022-07-05 13:58:30.252,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,800.2198,842.1245,850.18317,811.50183
2022-07-05 13:58:30.253,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,771.6117,798.20514,776.04395,758.315
2022-07-05 13:58:30.253,0.94521606,0.7466833,0.9412655,0.5585205,0.42054895,0,763.1502,780.07324,759.92676,750.2564
